Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
2.237891447621968837e+02,5.621116558262350509e+02,-6.488269348144531534e+01,1.093993997937823572e-02,1.093993997937823572e-02,3.666668385267257864e-03,-6.085677774961197883e-01,3.679909356352709437e+00,-1.742514038085928973e+00,9.890727731890272545e-05,9.890727731890272545e-05,3.333352506160701390e-05
2.231805769847007639e+02,5.657915651825877603e+02,-6.662520751953124432e+01,1.103884725669713844e-02,1.103884725669713844e-02,3.700001910328864878e-03,-6.016565961059541223e-01,3.682551887102818000e+00,-1.711013793945312500e+00,9.889749563664861076e-05,9.889749563664861076e-05,3.333315253257768812e-05
2.225789203885948098e+02,5.694741170696905783e+02,-6.833622131347655682e+01,1.113774475233378705e-02,1.113774475233378705e-02,3.733335062861442566e-03,-7.628573018546660478e-01,3.626185606928856942e+00,-1.617590332031255684e+00,9.888697915647580439e-05,9.888697915647580439e-05,3.333352506160744758e-05
2.218160630867401437e+02,5.731003026766194353e+02,-6.995381164550781250e+01,1.123663173149026286e-02,1.123663173149026286e-02,3.766668587923050013e-03,-7.039481782105099228e-01,3.679733723264121181e+00,-1.448672485351565342e+00,9.887793814857687158e-05,9.887793814857687158e-05,3.333315253257725444e-05
2.211121149085296338e+02,5.767800363998835564e+02,-7.140248413085937784e+01,1.133550966963883973e-02,1.133550966963883973e-02,3.800001740455627268e-03,-7.307868235264152190e-01,3.673486229597415331e+00,-1.449798583984360789e+00,9.886816226875420888e-05,9.886816226875420888e-05,3.333352506160744758e-05
2.203813280850032186e+02,5.804535226294809718e+02,-7.285228271484373863e+01,1.143437783190759394e-02,1.143437783190759394e-02,3.833335265517234716e-03,-7.952474836293959015e-01,3.644613544978369646e+00,-1.446612548828142053e+00,9.885765180690092579e-05,9.885765180690092579e-05,3.333315253257768812e-05
2.195860806013738227e+02,5.840981361744593414e+02,-7.429889526367188068e+01,1.153323548371449486e-02,1.153323548371449486e-02,3.866668418049812404e-03,-9.807307566611882521e-01,3.591082636086753155e+00,-1.452368164062505684e+00,9.884861637946343316e-05,9.884861637946343316e-05,3.333352506160744758e-05
2.186053498447126344e+02,5.876892188105460946e+02,-7.575126342773438637e+01,1.163208410009395830e-02,1.163208410009395830e-02,3.900001943111419851e-03,-8.567018215071868781e-01,3.629031973442465642e+00,-1.398852539062488631e+00,9.883884629603538474e-05,9.883884629603538474e-05,3.333352506160701390e-05
2.177486480232054475e+02,5.913182507839885602e+02,-7.715011596679687500e+01,1.173092294638999368e-02,1.173092294638999368e-02,3.933335468173026865e-03,-8.297992046641411434e-01,3.644758224877136854e+00,-1.386511230468755684e+00,9.882907814418376291e-05,9.882907814418376291e-05,3.333315253257768812e-05
2.169188488185413064e+02,5.949630090088656971e+02,-7.853662719726563068e+01,1.182975202453417744e-02,1.182975202453417744e-02,3.966668620705604553e-03,-7.435424305240303511e-01,3.691125207466711799e+00,-1.334738159179693184e+00,9.881857569911910166e-05,9.881857569911910166e-05,3.333352506160701390e-05
2.161753063880172760e+02,5.986541342163324089e+02,-7.987136535644532387e+01,1.192857060023329654e-02,1.192857060023329654e-02,4.000002145767211567e-03,-6.203437652624472776e-01,3.741262443862410692e+00,-1.301403808593732947e+00,9.880954770390137920e-05,9.880954770390137920e-05,3.333315253257768812e-05
